               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.027374,            0.013625,           0.0010893,             0.89469,             0.88035,             0.94315,             0.62254,            0.024792,           0.0082404,          0.00060285,           0.0071566,           0.0071566,           0.0071566
                  59,            0.027189,            0.012304,           0.0014109,             0.87455,             0.88408,             0.93674,             0.64312,            0.023829,           0.0083054,          0.00059393,           0.0070686,           0.0070686,           0.0070686
                  60,            0.027819,            0.011957,           0.0012648,             0.84881,             0.91256,             0.93301,             0.64101,            0.023141,           0.0083097,          0.00067044,           0.0069799,           0.0069799,           0.0069799
                  61,            0.026771,            0.011277,           0.0012104,             0.85342,             0.90884,             0.94081,              0.6363,             0.02422,           0.0083405,          0.00066717,           0.0068906,           0.0068906,           0.0068906
                  62,            0.026977,            0.012504,           0.0011631,             0.91445,             0.89967,             0.94397,             0.65575,            0.022993,           0.0081698,            0.000583,           0.0068006,           0.0068006,           0.0068006
                  63,            0.028068,            0.012322,            0.001351,             0.91858,             0.86913,             0.94421,             0.64415,            0.023107,           0.0082027,          0.00059197,           0.0067101,           0.0067101,           0.0067101
                  64,            0.024958,            0.011649,           0.0012794,             0.86618,             0.90201,             0.94168,             0.65749,            0.023475,            0.008346,           0.0010221,           0.0066191,           0.0066191,           0.0066191
                  65,            0.025252,             0.01151,           0.0013975,             0.91436,             0.84653,             0.93411,             0.64124,            0.023808,           0.0087235,          0.00091794,           0.0065276,           0.0065276,           0.0065276
                  66,            0.025706,            0.011957,          0.00095099,             0.91371,             0.86386,             0.93573,             0.64791,            0.023087,           0.0084016,          0.00062225,           0.0064356,           0.0064356,           0.0064356
                  67,            0.026946,            0.012364,           0.0012846,             0.88979,             0.88734,             0.93649,             0.63434,            0.022866,           0.0082458,          0.00044133,           0.0063432,           0.0063432,           0.0063432
                  68,            0.027682,            0.012459,          0.00076239,             0.90065,             0.89873,             0.94218,             0.62262,            0.024588,           0.0081172,          0.00041367,           0.0062505,           0.0062505,           0.0062505
                  69,            0.026273,            0.012125,          0.00092553,             0.87144,             0.90708,             0.93869,             0.64678,            0.024722,           0.0080805,          0.00062603,           0.0061574,           0.0061574,           0.0061574
                  70,            0.024767,            0.011553,           0.0010555,             0.92073,             0.88924,              0.9497,             0.65837,            0.022545,           0.0081478,          0.00045099,            0.006064,            0.006064,            0.006064
                  71,            0.024936,            0.011201,           0.0013334,             0.90378,             0.90256,             0.94673,             0.66052,            0.022296,           0.0081691,          0.00045606,           0.0059704,           0.0059704,           0.0059704
                  72,            0.023262,            0.011517,          0.00095671,             0.87254,             0.88833,             0.94404,             0.66831,            0.022228,           0.0082168,          0.00042419,           0.0058766,           0.0058766,           0.0058766
                  73,             0.02472,            0.011345,          0.00086098,             0.89865,             0.90396,             0.95148,             0.67996,            0.021444,           0.0080021,          0.00038655,           0.0057826,           0.0057826,           0.0057826
                  74,            0.022922,            0.010548,           0.0011204,              0.8116,             0.94939,             0.93532,             0.63419,            0.022744,           0.0083904,          0.00068917,           0.0056884,           0.0056884,           0.0056884
                  75,            0.024619,            0.011204,           0.0013954,             0.87654,             0.92508,             0.95201,             0.67283,              0.0216,           0.0078166,           0.0004484,           0.0055942,           0.0055942,           0.0055942
                  76,            0.023199,            0.010992,           0.0010569,             0.86218,               0.913,             0.94651,             0.64928,            0.021924,           0.0081325,          0.00033835,              0.0055,              0.0055,              0.0055
                  77,            0.023451,            0.010254,          0.00062195,             0.89609,             0.91377,             0.95022,             0.64836,            0.022721,           0.0082193,          0.00039719,           0.0054058,           0.0054058,           0.0054058
                  78,            0.023618,            0.010947,          0.00077607,             0.88572,             0.92248,             0.94969,             0.67234,            0.021753,           0.0082249,          0.00046769,           0.0053116,           0.0053116,           0.0053116
